Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
120,1,120,138.113,83.173,0,65.1,481.114,15.451,NA,5.463,NA,-114.775,-9.844
121,1,121,134.679,82.028,0,49.9,484.733,18.977,NA,3.619,NA,-161.565,-46.79
122,1,122,132.771,82.41,0,48.9,486.679,20.475,NA,1.945,NA,168.69,-29.745
123,1,123,132.39,86.607,0,47.9,490.893,19.342,NA,4.214,NA,95.194,-73.496
124,1,124,132.008,92.711,0,48.9,497.009,19.111,NA,6.116,NA,93.576,-1.618
125,1,125,133.153,95.763,0,53.2,500.269,18.416,NA,3.26,NA,69.444,-24.132
126,1,126,133.153,101.105,0,60.3,505.61,20.311,NA,5.341,NA,90,20.556
127,1,127,133.916,104.157,0,60.3,508.756,21.29,NA,3.146,NA,75.964,-14.036
128,1,128,133.916,108.354,0,72.4,512.953,24.012,NA,4.197,NA,90,14.036
129,1,129,135.442,111.406,0,81.7,516.366,25.264,NA,3.412,NA,63.435,-26.565
130,1,130,136.205,115.603,0,72,520.631,28.269,NA,4.266,NA,79.695,16.26
131,1,131,136.587,117.129,0,72.4,522.204,29.387,NA,1.573,NA,75.964,-3.731
132,1,132,136.968,113.313,0,69.8,526.039,25.927,NA,3.834,NA,-84.289,-160.253
133,1,133,138.113,101.486,0,66.2,537.921,16.33,NA,11.883,NA,-84.472,-0.183
